Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2000","2000","1000 US$","60","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2001","2001","1000 US$","45","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2002","2002","1000 US$","44","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2003","2003","1000 US$","22","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2004","2004","1000 US$","62","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2005","2005","1000 US$","80","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2006","2006","1000 US$","46","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2007","2007","1000 US$","108","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2008","2008","1000 US$","74","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2009","2009","1000 US$","66","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2010","2010","1000 US$","26","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2011","2011","1000 US$","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2012","2012","1000 US$","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2013","2013","1000 US$","10","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2014","2014","1000 US$","61","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2015","2015","1000 US$","51","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2016","2016","1000 US$","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2017","2017","1000 US$","36","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2018","2018","1000 US$","45","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2019","2019","1000 US$","24","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","2020","2020","1000 US$","36","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1986","1986","tonnes","1952","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1987","1987","tonnes","10552","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1988","1988","tonnes","7493","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1989","1989","tonnes","15586","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1990","1990","tonnes","5587","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1991","1991","tonnes","3647","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1992","1992","tonnes","6614","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1993","1993","tonnes","948","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1994","1994","tonnes","1203","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1995","1995","tonnes","2804","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1996","1996","tonnes","2744","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1997","1997","tonnes","1904","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1998","1998","tonnes","1105","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","1999","1999","tonnes","2660","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2000","2000","tonnes","2071","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2001","2001","tonnes","3262","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2002","2002","tonnes","1658","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2003","2003","tonnes","4713","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2004","2004","tonnes","2295","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2005","2005","tonnes","1510","","Official data"
"TM","Detailed trade matrix","231","United States of America","9","Argentina","5610","Import Quantity","515","Apples","2006","2006","tonnes","1512","","Official data"
